6.7,1.4,6,27.9
7.9,3.1,3,62.7
9.8,3.9,0,27.8
10.1,4.1,1,15.2
11.8,5.8,1,117
15.5,8.9,0,7
19.3,11.7,0,39.6
18,11.4,0,60.1
15.4,9.9,0,58.6
12.9,7.1,0,52.9
8.7,2.2,4,75.5
7.2,1.7,9,32.2
6.9,1.7,12,24.4
4.3,-0.7,16,45.1
9.4,3.4,2,34.5
10.8,1.6,9,28.8
10.6,2.8,2,37.1
16.7,6.8,0,58.5
15,8.1,0,81.4
16.3,9.6,0,28
15.7,9.9,0,66
14.7,7.1,0,35.2
8.5,5.1,1,35.1
5.7,1.5,9,32.2
7.3,2.2,6,48.4
3.1,-0.8,14,46.3
4.5,0.4,9,34.4
8.9,2.9,4,52.6
11.9,6.4,0,73.7
16,8.2,0,53
19.6,11.9,0,39
17.7,12.2,0,20.6
16.5,10.3,0,49.2
15.4,9,0,9
7.9,2.2,4,77.2
5.8,1.4,9,64.1
5.4,1.3,7,48.6
5.2,-0.2,14,43.5
6.8,0.7,11,36.3
8.8,2.7,7,31
13.5,7.3,0,22.9
17.1,9.5,0,9.5
18,11.3,0,63.3
17.7,11.4,0,31.1
17.6,10.3,0,25.9
13.8,6.8,0,28.3
9.8,4,1,93.3
7,2.6,1,64.1
6.6,2,7,41.9
7.7,1.9,4,10.5
7.6,2,7,25.3
8.9,3.3,2,53
13.4,5.9,1,34.7
13.4,8.2,0,37.7
18.4,11.1,0,41.8
17.4,10.8,0,90.8
16.7,9.2,0,11.9
14.4,7.4,1,14.3
9.2,3.4,5,63.3
9.2,4.3,3,8.9
6.6,1.7,9,50.6
7.7,1.4,5,41.6
7.6,1.8,5,47.2
10.5,4.2,1,27.2
12.7,6.1,0,38.6
15.3,7.8,0,67.5
16.9,10.2,0,24
17.2,9.9,0,9.7
14,7.2,0,18.7
14.4,7.4,1,14.3
9.2,3.4,5,63.3
9.2,4.3,3,8.9
6.6,1.7,9,50.6
7.7,1.4,5,41.6
7.6,1.8,5,47.2
8.4,3.3,0,44.7
13,6.1,0,62.8
17.5,10,0,32.6
17.1,11,0,81.6
17.5,10.7,0,41
16.3,9.7,0,67.5
11.7,6.5,0,32.8
8.8,2.7,7,26.7
7.4,0.9,11,39.9
8.1,2.3,5,73.3
7.8,2.6,3,44.5
7,2.1,2,37.3
7.1,3.5,2,8.1
12.9,6.5,0,12.1
15.2,8.5,0,37.3
17.5,10.9,0,36.5
18.4,11.1,0,33.3
15.2,8.3,0,72.5
10.1,5.3,1,32.8
8.5,3.2,1,67.4
10,4.4,0,27.1
8.9,3,2,48.7
6.6,1.4,6,14.9
6.9,2,2,31.3
10.4,4.1,2,39.1
10.4,4.7,0,57.1
16.1,8.3,0,31
19,11.3,0,49.1
20.5,12.3,0,22.2
16.5,8.4,0,55.4
12.7,6.1,0,27.2
9.2,3.6,2,61.6
8.5,3.3,2,40.1
8,2.4,10,61.2
7,2.1,5,9.2
6.9,1.8,7,18.2
9.7,3.9,2,12.8
13.6,6.7,0,85.7
20.2,10.9,0,4.9
19.9,11.3,0,9.8
18.6,10.9,0,10.1
15.1,9.3,0,131.7
13,7.8,0,98.4
8.7,3,4,30.9
4.8,0.4,8,96.2
5.2,0.4,10,88.5
6.4,1.8,7,79.5
9.3,3.4,3,44.8
9.8,3.2,2,33.6
11.6,6,0,52.7
13.6,7.9,0,46.7
